ADC Channels - Charge distribution	Counts - Charge distribution
-495	0
-485	0
-475	0
-465	0
-455	0
-445	0
-435	0
-425	0
-415	0
-405	0
-395	0
-385	0
-375	0
-365	0
-355	0
-345	0
-335	0
-325	0
-315	0
-305	0
-295	0
-285	0
-275	0
-265	0
-255	0
-245	0
-235	0
-225	0
-215	0
-205	0
-195	0
-185	0
-175	0
-165	0
-155	0
-145	0
-135	0
-125	1
-115	2
-105	8
-95	7
-85	24
-75	42
-65	71
-55	146
-45	228
-35	313
-25	490
-15	633
-5	971
5	1257
15	1618
25	2083
35	2518
45	2864
55	3368
65	3756
75	4077
85	4527
95	4660
105	4975
115	4977
125	5031
135	5084
145	4978
155	4840
165	4879
175	4597
185	4428
195	4359
205	4248
215	4115
225	4073
235	3926
245	3941
255	3757
265	3676
275	3702
285	3652
295	3664
305	3666
315	3624
325	3517
335	3545
345	3526
355	3408
365	3486
375	3512
385	3486
395	3422
405	3436
415	3450
425	3349
435	3277
445	3216
455	3126
465	3264
475	3172
485	3192
495	3214
505	3078
515	3101
525	3006
535	3065
545	3078
555	2932
565	2990
575	3028
585	2982
595	3025
605	3010
615	3085
625	3140
635	3265
645	3272
655	3272
665	3295
675	3301
685	3449
695	3445
705	3575
715	3678
725	3547
735	3636
745	3527
755	3583
765	3616
775	3531
785	3390
795	3504
805	3410
815	3282
825	3375
835	3127
845	3131
855	3145
865	3081
875	2947
885	2918
895	2926
905	2810
915	2753
925	2726
935	2643
945	2694
955	2681
965	2599
975	2622
985	2585
995	2556
1005	2517
1015	2512
1025	2461
1035	2481
1045	2475
1055	2453
1065	2429
1075	2391
1085	2316
1095	2423
1105	2384
1115	2458
1125	2355
1135	2352
1145	2326
1155	2477
1165	2277
1175	2231
1185	2274
1195	2290
1205	2269
1215	2249
1225	2357
1235	2263
1245	2307
1255	2270
1265	2235
1275	2233
1285	2264
1295	2300
1305	2286
1315	2300
1325	2346
1335	2239
1345	2267
1355	2303
1365	2208
1375	2318
1385	2267
1395	2273
1405	2273
1415	2327
1425	2247
1435	2247
1445	2342
1455	2320
1465	2292
1475	2305
1485	2202
1495	2293
1505	2329
1515	2370
1525	2304
1535	2402
1545	2265
1555	2357
1565	2378
1575	2285
1585	2416
1595	2409
1605	2348
1615	2375
1625	2392
1635	2467
1645	2383
1655	2293
1665	2409
1675	2388
1685	2434
1695	2306
1705	2290
1715	2385
1725	2466
1735	2217
1745	2271
1755	2285
1765	2246
1775	2290
1785	2146
1795	2188
1805	2119
1815	2105
1825	2090
1835	1956
1845	1980
1855	1887
1865	1913
1875	1810
1885	1718
1895	1726
1905	1561
1915	1556
1925	1485
1935	1416
1945	1359
1955	1313
1965	1242
1975	1173
1985	1085
1995	1015
2005	984
2015	893
2025	841
2035	797
2045	722
2055	746
2065	640
2075	639
2085	600
2095	543
2105	552
2115	519
2125	500
2135	473
2145	509
2155	490
2165	477
2175	537
2185	585
2195	640
2205	644
2215	703
2225	744
2235	810
2245	798
2255	882
2265	1033
2275	992
2285	1091
2295	1172
2305	1256
2315	1290
2325	1368
2335	1418
2345	1441
2355	1527
2365	1661
2375	1693
2385	1822
2395	1858
2405	2043
2415	2123
2425	2112
2435	2402
2445	2480
2455	2734
2465	2962
2475	3149
2485	3555
2495	3731
2505	4069
2515	4362
2525	4800
2535	5165
2545	5646
2555	5910
2565	6231
2575	6696
2585	6962
2595	7377
2605	7643
2615	7979
2625	8032
2635	8394
2645	8576
2655	8418
2665	8513
2675	8351
2685	8285
2695	8098
2705	7803
2715	7487
2725	7132
2735	6827
2745	6539
2755	6125
2765	5698
2775	5176
2785	4733
2795	4261
2805	3971
2815	3418
2825	3069
2835	2805
2845	2412
2855	2081
2865	1790
2875	1601
2885	1370
2895	1198
2905	952
2915	816
2925	677
2935	551
2945	496
2955	384
2965	298
2975	278
2985	205
2995	157
3005	123
3015	93
3025	73
3035	73
3045	51
3055	41
3065	29
3075	25
3085	14
3095	16
3105	21
3115	12
3125	11
3135	8
3145	5
3155	8
3165	9
3175	2
3185	13
3195	3
3205	7
3215	2
3225	7
3235	7
3245	5
3255	7
3265	2
3275	5
3285	4
3295	4
3305	5
3315	6
3325	3
3335	3
3345	2
3355	2
3365	2
3375	5
3385	3
3395	4
3405	4
3415	2
3425	4
3435	2
3445	3
3455	3
3465	5
3475	0
3485	1
3495	1
3505	3
3515	3
3525	4
3535	3
3545	6
3555	3
3565	4
3575	2
3585	2
3595	2
3605	3
3615	3
3625	0
3635	1
3645	1
3655	2
3665	3
3675	4
3685	2
3695	5
3705	2
3715	1
3725	4
3735	0
3745	1
3755	2
3765	5
3775	4
3785	2
3795	0
3805	3
3815	0
3825	1
3835	3
3845	2
3855	4
3865	2
3875	0
3885	0
3895	1
3905	0
3915	1
3925	0
3935	1
3945	2
3955	1
3965	2
3975	0
