ADC Channels - Charge distribution	Counts - Charge distribution
-495	1
-485	0
-475	0
-465	0
-455	0
-445	1
-435	0
-425	0
-415	0
-405	0
-395	0
-385	0
-375	0
-365	0
-355	0
-345	0
-335	0
-325	0
-315	0
-305	0
-295	0
-285	0
-275	0
-265	0
-255	1
-245	0
-235	0
-225	0
-215	0
-205	1
-195	0
-185	0
-175	0
-165	0
-155	0
-145	0
-135	0
-125	2
-115	6
-105	8
-95	8
-85	21
-75	14
-65	30
-55	47
-45	50
-35	116
-25	161
-15	225
-5	325
5	374
15	561
25	692
35	877
45	1139
55	1347
65	1617
75	1874
85	2173
95	2466
105	2795
115	2997
125	3320
135	3569
145	3813
155	4127
165	4297
175	4311
185	4638
195	4623
205	4825
215	4709
225	4990
235	5051
245	4998
255	4860
265	4981
275	4948
285	4857
295	5004
305	5072
315	5028
325	4871
335	4987
345	5115
355	4963
365	5071
375	4966
385	4819
395	4866
405	4908
415	4942
425	5006
435	5000
445	5030
455	5090
465	5203
475	5196
485	5202
495	5274
505	5198
515	5186
525	5307
535	5387
545	5315
555	5294
565	5383
575	5337
585	5328
595	5181
605	5331
615	5287
625	5226
635	5382
645	5118
655	5321
665	5442
675	5215
685	5397
695	5403
705	5538
715	5604
725	5564
735	5779
745	5962
755	5975
765	6129
775	6266
785	6521
795	6628
805	6922
815	6778
825	6952
835	7170
845	7045
855	7175
865	7263
875	7230
885	7275
895	7386
905	7029
915	6954
925	6976
935	6840
945	6530
955	6492
965	6423
975	6403
985	6182
995	5924
1005	5878
1015	5697
1025	5602
1035	5546
1045	5480
1055	5397
1065	5317
1075	5316
1085	5334
1095	5094
1105	5133
1115	5099
1125	5024
1135	4975
1145	4860
1155	4946
1165	4961
1175	4869
1185	4998
1195	4748
1205	4954
1215	4718
1225	4739
1235	4764
1245	4752
1255	4717
1265	4638
1275	4742
1285	4560
1295	4606
1305	4459
1315	4484
1325	4560
1335	4378
1345	4479
1355	4394
1365	4321
1375	4374
1385	4279
1395	4248
1405	4194
1415	4214
1425	4223
1435	4186
1445	4035
1455	4137
1465	4055
1475	4065
1485	4155
1495	4009
1505	4026
1515	3930
1525	3932
1535	4024
1545	4064
1555	4094
1565	3980
1575	3911
1585	3876
1595	3956
1605	3962
1615	3962
1625	3890
1635	3903
1645	3886
1655	3882
1665	3925
1675	3886
1685	3886
1695	3908
1705	3891
1715	3811
1725	3898
1735	3957
1745	3835
1755	3852
1765	3822
1775	3744
1785	3717
1795	3860
1805	3799
1815	3875
1825	3741
1835	3767
1845	3800
1855	3818
1865	3803
1875	3750
1885	3777
1895	3789
1905	3728
1915	3809
1925	3775
1935	3768
1945	3787
1955	3823
1965	3799
1975	3616
1985	3790
1995	3763
2005	3841
2015	3797
2025	3802
2035	3769
2045	3667
2055	3745
2065	3694
2075	3731
2085	3688
2095	3646
2105	3818
2115	3744
2125	3775
2135	3689
2145	3751
2155	3791
2165	3608
2175	3873
2185	3772
2195	3785
2205	3665
2215	3760
2225	3754
2235	3674
2245	3767
2255	3704
2265	3782
2275	3723
2285	3879
2295	3627
2305	3787
2315	3637
2325	3663
2335	3727
2345	3684
2355	3773
2365	3776
2375	3570
2385	3672
2395	3725
2405	3755
2415	3698
2425	3730
2435	3637
2445	3736
2455	3776
2465	3763
2475	3779
2485	3794
2495	3631
2505	3847
2515	3675
2525	3781
2535	3819
2545	3742
2555	3703
2565	3834
2575	3814
2585	3729
2595	3797
2605	3840
2615	3757
2625	3768
2635	3780
2645	3750
2655	3763
2665	3718
2675	3855
2685	3739
2695	3887
2705	3825
2715	3792
2725	3728
2735	3809
2745	3754
2755	3773
2765	3770
2775	3797
2785	3910
2795	3755
2805	3914
2815	3787
2825	3948
2835	3908
2845	3878
2855	3813
2865	3869
2875	3947
2885	3803
2895	3992
2905	3811
2915	3893
2925	3911
2935	3988
2945	3956
2955	3960
2965	3787
2975	3963
2985	4054
2995	4006
3005	4033
3015	4013
3025	3957
3035	3989
3045	4046
3055	4014
3065	4070
3075	3901
3085	4171
3095	3970
3105	4094
3115	3986
3125	4070
3135	4172
3145	4151
3155	4126
3165	4084
3175	4124
3185	4182
3195	4219
3205	4205
3215	4181
3225	4182
3235	4155
3245	4111
3255	4291
3265	4249
3275	4152
3285	4312
3295	4248
3305	4449
3315	4297
3325	4259
3335	4338
3345	4199
3355	4283
3365	4302
3375	4371
3385	4278
3395	4225
3405	4412
3415	4428
3425	4382
3435	4258
3445	4331
3455	4396
3465	4411
3475	4382
3485	4457
3495	4399
3505	4440
3515	4373
3525	4321
3535	4332
3545	4498
3555	4353
3565	4410
3575	4393
3585	4404
3595	4355
3605	4406
3615	4293
3625	4347
3635	4255
3645	4264
3655	4230
3665	4331
3675	4298
3685	4199
3695	4125
3705	4225
3715	4222
3725	4096
3735	3950
3745	4076
3755	3924
3765	3968
3775	3846
3785	3849
3795	3738
3805	3661
3815	3828
3825	3545
3835	3607
3845	3589
3855	3496
3865	3473
3875	3342
3885	3498
3895	3432
3905	3225
3915	3255
3925	3181
3935	3236
3945	3183
3955	3203
3965	3122
3975	3055
3985	3085
3995	3070
4005	3031
4015	3038
4025	3001
4035	3059
4045	2922
4055	2970
4065	3038
4075	3053
4085	3090
4095	2978
4105	3111
4115	3167
4125	3263
4135	3214
4145	3400
4155	3382
4165	3469
4175	3428
4185	3531
4195	3586
4205	3623
4215	3665
4225	3775
4235	3776
4245	3931
4255	4075
4265	4111
4275	4204
4285	4318
4295	4471
4305	4568
4315	4643
4325	4920
4335	5043
4345	5009
4355	5296
4365	5470
4375	5616
4385	5820
4395	6002
4405	6002
4415	6232
4425	6421
4435	6657
4445	6887
4455	6893
4465	7205
4475	7241
4485	7341
4495	7603
4505	7570
4515	7945
4525	7783
4535	7833
4545	7731
4555	7836
4565	7946
4575	7733
4585	7747
4595	7664
4605	7402
4615	7202
4625	6956
4635	6690
4645	6677
4655	6382
4665	6121
4675	5885
4685	5565
4695	5446
4705	5024
4715	4768
4725	4648
4735	4379
4745	4226
4755	4152
4765	3774
4775	3612
4785	3505
4795	3331
4805	3246
4815	3280
4825	3102
4835	3070
4845	2951
4855	3067
4865	3004
4875	3176
4885	3095
4895	3196
4905	3331
4915	3420
4925	3416
4935	3602
4945	3799
4955	3733
4965	4048
4975	4146
4985	4198
4995	4398
5005	4684
5015	4864
5025	4913
5035	4962
5045	5119
5055	5285
5065	5182
5075	5374
5085	5531
5095	5418
5105	5571
5115	5511
5125	5397
5135	5388
5145	5491
5155	5430
5165	5303
5175	5226
5185	4980
5195	4880
5205	4723
5215	4631
5225	4350
5235	4108
5245	3953
5255	3728
5265	3536
5275	3391
5285	3112
5295	2923
5305	2633
5315	2574
5325	2262
5335	2108
5345	1903
5355	1727
5365	1575
5375	1506
5385	1340
5395	1096
5405	1116
5415	971
5425	811
5435	784
5445	667
5455	602
5465	530
5475	512
5485	448
5495	405
5505	352
5515	330
5525	293
5535	268
5545	251
5555	237
5565	215
5575	206
5585	169
5595	190
5605	184
5615	188
5625	163
5635	175
5645	163
5655	173
5665	161
5675	179
5685	126
5695	142
5705	148
5715	152
5725	152
5735	147
5745	139
5755	130
5765	146
5775	133
5785	133
5795	130
5805	132
5815	136
5825	117
5835	164
5845	136
5855	116
5865	147
5875	116
5885	129
5895	143
5905	155
5915	123
5925	131
5935	131
5945	146
5955	132
5965	130
5975	140
5985	145
5995	115
6005	110
6015	117
6025	130
6035	130
6045	122
6055	116
6065	114
6075	118
6085	131
6095	130
6105	110
6115	121
6125	117
6135	132
6145	105
6155	100
6165	114
6175	110
6185	101
6195	112
6205	105
6215	110
6225	115
6235	127
6245	104
6255	109
6265	98
6275	123
6285	131
6295	123
6305	104
6315	111
6325	120
6335	115
6345	116
6355	112
6365	104
6375	99
6385	105
