ADC Channels - Charge distribution	Counts - Charge distribution
-495	0
-485	0
-475	0
-465	1
-455	1
-445	0
-435	0
-425	0
-415	0
-405	0
-395	0
-385	1
-375	0
-365	1
-355	0
-345	0
-335	0
-325	0
-315	0
-305	1
-295	2
-285	0
-275	0
-265	0
-255	0
-245	1
-235	1
-225	1
-215	1
-205	0
-195	0
-185	0
-175	0
-165	0
-155	0
-145	0
-135	1
-125	2
-115	0
-105	0
-95	1
-85	5
-75	5
-65	12
-55	16
-45	27
-35	46
-25	47
-15	91
-5	125
5	166
15	220
25	315
35	375
45	515
55	547
65	700
75	765
85	942
95	1094
105	1204
115	1321
125	1465
135	1591
145	1646
155	1797
165	1894
175	1971
185	1992
195	2126
205	2109
215	2246
225	2214
235	2198
245	2234
255	2328
265	2278
275	2268
285	2412
295	2385
305	2340
315	2461
325	2342
335	2399
345	2517
355	2418
365	2510
375	2351
385	2329
395	2273
405	2358
415	2222
425	2354
435	2292
445	2304
455	2186
465	2333
475	2325
485	2218
495	2288
505	2261
515	2255
525	2234
535	2313
545	2262
555	2374
565	2438
575	2476
585	2481
595	2653
605	2651
615	2629
625	2711
635	2768
645	2796
655	2781
665	2839
675	2788
685	2889
695	2797
705	2877
715	2818
725	2762
735	2851
745	2718
755	2663
765	2688
775	2616
785	2583
795	2693
805	2507
815	2461
825	2471
835	2437
845	2388
855	2292
865	2256
875	2173
885	2184
895	2307
905	2160
915	2129
925	2113
935	2126
945	2079
955	2063
965	2085
975	2073
985	1973
995	1906
1005	1940
1015	1932
1025	1844
1035	1809
1045	1877
1055	1812
1065	1790
1075	1856
1085	1790
1095	1809
1105	1755
1115	1745
1125	1784
1135	1732
1145	1700
1155	1678
1165	1666
1175	1739
1185	1593
1195	1651
1205	1578
1215	1650
1225	1622
1235	1589
1245	1630
1255	1610
1265	1569
1275	1509
1285	1518
1295	1462
1305	1411
1315	1414
1325	1385
1335	1379
1345	1345
1355	1316
1365	1220
1375	1209
1385	1153
1395	1193
1405	1132
1415	1023
1425	1012
1435	999
1445	959
1455	914
1465	836
1475	900
1485	865
1495	824
1505	768
1515	829
1525	770
1535	908
1545	829
1555	825
1565	868
1575	930
1585	974
1595	1079
1605	1160
1615	1231
1625	1233
1635	1374
1645	1456
1655	1573
1665	1607
1675	1699
1685	1741
1695	1833
1705	1948
1715	2051
1725	2075
1735	2194
1745	2276
1755	2279
1765	2366
1775	2401
1785	2495
1795	2574
1805	2595
1815	2778
1825	2843
1835	3000
1845	3219
1855	3401
1865	3766
1875	4020
1885	4487
1895	4816
1905	5166
1915	5830
1925	6286
1935	6692
1945	7181
1955	7761
1965	8304
1975	8695
1985	9256
1995	9901
2005	10065
2015	10485
2025	10597
2035	10999
2045	10978
2055	10831
2065	10899
2075	10882
2085	10535
2095	10189
2105	9738
2115	9514
2125	8837
2135	8380
2145	7795
2155	7152
2165	6709
2175	6047
2185	5480
2195	4911
2205	4326
2215	3944
2225	3462
2235	3049
2245	2592
2255	2356
2265	2029
2275	1763
2285	1549
2295	1304
2305	1178
2315	996
2325	864
2335	778
2345	669
2355	624
2365	564
2375	480
2385	461
2395	437
2405	417
2415	424
2425	396
2435	411
2445	369
2455	372
2465	395
2475	356
2485	357
2495	374
2505	334
2515	409
2525	341
2535	364
2545	327
2555	369
2565	353
2575	356
2585	354
2595	361
2605	373
2615	403
2625	348
2635	365
2645	365
2655	371
2665	386
2675	364
2685	346
2695	389
2705	346
2715	393
2725	360
2735	406
2745	381
2755	353
2765	388
2775	378
2785	407
2795	380
2805	344
2815	384
2825	392
2835	375
2845	372
2855	360
2865	365
2875	385
2885	342
2895	368
2905	320
2915	335
2925	332
2935	360
2945	345
2955	347
2965	354
2975	352
2985	344
2995	326
3005	342
3015	382
3025	347
3035	318
3045	332
3055	347
3065	332
3075	361
3085	335
3095	339
3105	326
3115	319
3125	325
3135	337
3145	373
3155	308
3165	329
3175	370
3185	278
3195	311
3205	334
3215	304
3225	324
3235	324
3245	348
3255	326
3265	318
3275	320
3285	297
3295	346
3305	341
3315	344
3325	284
3335	328
3345	336
3355	276
3365	316
3375	314
3385	323
3395	324
3405	309
3415	311
3425	323
3435	289
3445	359
3455	338
3465	295
3475	305
3485	345
3495	307
3505	308
3515	308
3525	351
3535	332
3545	320
3555	287
3565	366
3575	337
3585	310
3595	331
3605	327
3615	371
3625	323
3635	326
3645	327
3655	340
3665	344
3675	343
3685	313
3695	344
3705	328
3715	346
3725	345
3735	315
3745	362
3755	340
3765	356
3775	378
3785	330
3795	336
3805	325
3815	364
3825	349
3835	340
3845	315
3855	316
3865	367
3875	342
3885	367
3895	352
3905	404
3915	337
3925	329
3935	322
3945	352
3955	361
3965	337
3975	347
3985	376
3995	352
4005	359
4015	337
4025	312
4035	362
4045	342
4055	310
4065	325
4075	318
4085	370
4095	339
4105	289
4115	321
4125	301
4135	278
4145	298
4155	275
4165	272
4175	262
4185	260
4195	256
4205	225
4215	231
4225	226
4235	219
4245	201
4255	194
4265	245
4275	207
4285	198
4295	222
4305	199
4315	191
4325	203
4335	177
4345	138
4355	153
4365	167
4375	158
4385	165
4395	149
4405	140
4415	132
4425	155
4435	154
4445	134
4455	167
4465	151
4475	156
4485	150
4495	192
4505	169
4515	163
4525	162
4535	146
4545	177
4555	161
4565	180
4575	223
4585	221
4595	201
4605	259
4615	264
4625	261
4635	271
4645	277
4655	330
4665	339
4675	329
4685	341
4695	323
4705	367
4715	354
4725	400
4735	420
4745	433
4755	470
4765	508
4775	516
4785	557
4795	574
4805	615
4815	629
4825	650
4835	660
4845	687
4855	746
4865	741
4875	776
4885	744
4895	775
4905	843
4915	837
4925	852
4935	783
4945	824
4955	832
4965	792
4975	840
4985	788
4995	824
5005	826
5015	815
5025	709
5035	794
5045	797
5055	623
5065	699
5075	635
5085	576
5095	582
5105	533
5115	519
5125	464
5135	465
5145	463
5155	416
5165	379
5175	387
5185	317
5195	313
5205	277
5215	280
5225	231
5235	191
5245	204
5255	170
5265	166
